Well Id,Oil_prod,Water_prod
16/07-1,1126269,54298
16/07-2,39417,124
16/07-3,1357802,14263
11/30a-9Z,0,0
11/30a-A1,3078229,2073136
11/30a-A10,710,710
11/30a-A11,2806891,2355247
11/30a-A12,1915606,914119
11/30a-A13,110,110
11/30a-A14,526654,355700
11/30a-A15,0,0
11/30a-A16,300,300
11/30a-A18,6652614,5635964
11/30a-A19,1278987,1032636
11/30a-A2,439501,59113
11/30a-A20,999822,414988
11/30a-A21,8313465,5917060
11/30a-A23,5720609,5156356
11/30a-A24,2433471,1912295
11/30a-A25,1792846,987044
11/30a-A26,3822428,3096502
11/30a-A27,6962434,6087891
11/30a-A28,3391866,3028682
11/30a-A29,30962,10659
11/30a-A3,4822949,3187811
11/30a-A30,4243546,3923174
11/30a-A32,58649,58180
11/30a-A33Z,90248,82545
11/30a-A4,7455457,4948113
11/30a-A5,7138915,5648911
11/30a-A6,2170478,1816293
11/30a-A7,488715,152492
11/30a-A8,2422956,1849256
11/30a-A9,1709956,383000
11/30a-B1,892583,531902
11/30a-B10,1996078,1131104
11/30a-B2,1387001,602450
11/30a-B3,1982982,602881
11/30a-B4,1491084,881346
11/30a-B5,431629,263453
11/30a-B8,367379,178784
11/30a-B9,1393949,1091974
16/03a-E1,141,0
16/03a-E10,1135330,40037
16/03a-E11,597438,39336
16/03a-E12,82116,828
16/03a-E13,1208848,392170
16/03a-E14,733252,94646
16/03a-E15,1294458,430363
16/03a-E16,202031,18261
16/03a-E17,357848,154846
16/03a-E18,462610,40583
16/03a-E19,763221,304961
16/03a-E2,4052666,1325650
16/03a-E20,932053,331964
16/03a-E21,1001707,323185
16/03a-E22,81,0
16/03a-E23,284314,158027
16/03a-E24,217547,9801
16/03a-E25,57032,4158
16/03a-E26,20731,2798
16/03a-E3,5,0
16/03a-E4,1692772,558634
16/03a-E5,2379434,349769
16/03a-E6,2023631,58470
16/03a-E7,47355,3348
16/03a-E8,623075,115124
16/03a-E9,286407,20187
16/07a-4,640003,4475
16/07a-5,2124208,68490
16/07a-A1,4102250,423346
16/07a-A10,807,62
16/07a-A11,3203377,114641
16/07a-A12,1640252,61303
16/07a-A15,24586,796
16/07a-A16,3147347,1518646
16/07a-A17,99890,4415
16/07a-A18,780321,6196
16/07a-A2,7012378,1261291
16/07a-A20,975445,4360
16/07a-A21,3323314,2108321
16/07a-A22,4646701,148709
16/07a-A23,1378338,97188
16/07a-A24,700431,139010
16/07a-A25,274904,2480
16/07a-A27,1155422,811872
16/07a-A28,13695,7065
16/07a-A29,298418,62640
16/07a-A3,2775457,840999
16/07a-A31,323877,142661
16/07a-A32,1412432,979459
16/07a-A33,71238,2482
16/07a-A34,0,0
16/07a-A34Z,84124,2581
16/07a-A36,669043,465169
16/07a-A37,399959,7066
16/07a-A38,193991,11492
16/07a-A39,369534,193371
16/07a-A4,1453588,517154
16/07a-A40,173740,1971
16/07a-A5,3297028,465162
16/07a-A6,480476,37352
16/07a-A7,613831,120740
16/07a-A8,4469659,1383521
16/07a-A9,49807,632
16/07a-B1,3123941,284468
16/07a-B10,1284436,18152
16/07a-B11,23046,138
16/07a-B12,3964044,625063
16/07a-B13,75227,229
16/07a-B15,1366325,186635
16/07a-B16,1948917,1096669
16/07a-B17,1592974,159788
16/07a-B18,258969,17822
16/07a-B2,245611,32234
16/07a-B20,691749,56093
16/07a-B21,820350,62065
16/07a-B22,398852,11728
16/07a-B23,681784,28212
16/07a-B24,498623,3192
16/07a-B25,120797,41973
16/07a-B26,161422,2152
16/07a-B27,278314,64806
16/07a-B28,53394,55
16/07a-B3,1702544,94824
16/07a-B4,1671499,314262
16/07a-B5,4995,37
16/07a-B6,683724,161255
16/07a-B7,2800537,512195
16/07a-B8,7464,0
16/07a-B9,1639873,183457
16/07a-C7,738642,15529
16/12a-18Z,2130282,158546
16/12a-22,307187,1666
16/12a-8,1448424,273822
16/21a-13,36031,5124
16/21a-2,3028419,1798871
16/21a-3,3780189,2130249
16/21a-B1,6582419,4358059
16/21a-B10,4386798,3339097
16/21a-B2,6218387,3783614
16/21a-B3,5158675,3233226
16/21a-B4,3118779,1859694
16/21a-B5,2568632,1798283
16/21a-B6,4351803,3112709
16/21a-B7,573065,341084
16/21a-B8,823021,357289
16/21a-B9,6272,147
16/21b-12,1753994,216806
16/21b-21,1830053,1185952
16/21b-25Z,3311046,2027485
16/21b-29,1197023,728182
16/21b-P3,4279085,3000164
16/21d-31Z,1527030,850242
16/26-A11,2943191,1817720
16/26-A12,1052839,94255
16/26-A14,2739429,533417
16/26-A15,606689,38257
16/26-A16,4492365,2585300
16/26-A17,2014015,1450830
16/26-A18,3700727,1575116
16/26-A19,816052,533368
16/26-A2,3196831,1907620
16/26-A20,765088,561660
16/26-A21,1323954,349481
16/26-A23,1920681,461699
16/26-A24,489713,249996
16/26-A25,1835439,1394057
16/26-A26,1168062,421070
16/26-A27X,0,0
16/26-A29,669624,1595
16/26-A3,1629998,52089
16/26-A30Z,299221,199153
16/26-A32Y,187499,458
16/26-A33Y,66431,160
16/26-A5,1042297,321377
16/26-A6,1210390,28574
16/26-A7,3248327,2200463
16/26-A8,1906179,588568
16/26-A9,3472044,683808
16/28-16Z,1788456,239372
16/28-A10,1023336,182756
16/28-A11,6143,0
16/28-A12,628540,36713
16/28-A13,374943,21334
16/28-A14,362925,7159
16/28-A2,2265620,441495
16/28-A3,1141592,55690
16/28-A4,1284621,4913
16/28-A5,443,0
16/28-A6,1404269,145363
16/28-A7,1633101,322349
16/28-A8,1402656,148547
16/28-A9,812027,25692
22/17-T1,1866419,475815
22/17-T10,889703,86946
22/17-T13,717094,86335
22/17-T14,1501205,68282
22/17-T15,1532460,429248
22/17-T16,1133410,5032
22/17-T17,1416607,446351
22/17-T19,1552221,156599
22/17-T2,981226,118459
22/17-T20,998829,78403
22/17-T3,2410281,619857
22/17-T4,1677029,483986
22/17-T5,2314607,454599
22/17-T8,1750858,18011
22/23a-C1,99533,3911
22/23a-C2,715466,8482
22/23a-C3,517799,11094
29/02a-B1,576599,0
29/02a-B2,208140,0
3/04a-15,6325966,2010670
3/09a-E1,681718,40994
3/09a-E2,932441,87437
3/09a-E3,451128,24790
3/09a-N10,9411037,5762768
3/09a-N11,7667062,5042205
3/09a-N12,169819,169819
3/09a-N13,1264878,169630
3/09a-N15,0,0
3/09a-N16,22058,22058
3/09a-N17,5505990,3035006
3/09a-N18,4092033,1492381
3/09a-N19,1566,1566
3/09a-N2,5703291,2165539
3/09a-N21,74276,74276
3/09a-N22,33911,33911
3/09a-N24,22400,22400
3/09a-N25,13641,13641
3/09a-N26,6894744,3677352
3/09a-N27,8960,8960
3/09a-N3,6628237,4379207
3/09a-N30,984819,541830
3/09a-N31,1855233,863518
3/09a-N32,50793,45623
3/09a-N33,6443,6443
3/09a-N34,1124,1124
3/09a-N35,3691,3691
3/09a-N36,501821,206874
3/09a-N37,622073,653
3/09a-N38,1341,1341
3/09a-N39,429,429
3/09a-N4,9145,9145
3/09a-N5,4855396,2780281
3/09a-N6,11498,11498
3/09a-N7,10578,10578
3/09a-N8,28753,28753
30/16-A1,4626870,2861958
30/16-A10,2881758,765282
30/16-A11,2615348,653376
30/16-A12,1237820,935688
30/16-A13,1920624,1885058
30/16-A17Z,2501406,1466840
30/16-A18,330114,49183
30/16-A19,519231,486863
30/16-A2,18296462,12541192
30/16-A20,160932,98729
30/16-A21,1433792,847554
30/16-A22,1138471,463180
30/16-A23,588589,313611
30/16-A24,564542,100646
30/16-A25,4498,209
30/16-A3,633794,97366
30/16-A3Z,455765,339188
30/16-A4,7467803,6692872
30/16-A5,16016892,12128171
30/16-A6,710596,439976
30/16-A7,833897,188052
30/16-A8,3315389,1619210
30/16-A8Y,57278,47761
30/16-A9,1207036,1057581
30/16a-A15,331130,239788
30/16a-A16,263292,220967
30/24-10,54125,44632
30/24-11,1713734,696446
30/24-12,3857,162
30/24-14,359480,113481
30/24-16,2860139,1700702
30/24-18,813593,326992
30/24-2,1733296,295561
30/24-20,430438,265448
30/24-25,869502,219405
30/24-28,918902,326796
30/24-3,591338,124736
30/24-31,1125608,530273
30/24-5,2724190,898639
30/24-6,1119366,144483
30/24-8,36531,13769
30/24-9,4046560,1868320
31/26-6,1128950,243606
31/26-7,959329,160868
9/13-1,416449,674
9/13-15,5464955,16737
9/13-6A,476598,29761
9/13a-20B,4782341,221010
9/13a-24,328935,197371
9/13a-35,139185,3776
9/13a-42,738662,2407
9/13a-48,1029664,6415
9/13a-56,325137,46969
9/13a-60Z,231796,68969
9/13-A1,3254437,149220
9/13-A10,559489,8723
9/13-A11,42986,1138
9/13-A12,1252216,122828
9/13-A13,67689,43793
9/13-A15,64212,2209
9/13-A16,1872137,277262
9/13-A17,804977,180862
9/13-A18,1718365,39083
9/13-A19Z,261833,7991
9/13-A2,961305,63164
9/13-A20,3675353,164567
9/13-A21,139497,6166
9/13-A22,689300,7964
9/13-A23,2921465,970945
9/13-A24,216381,1175
9/13-A25,3415800,41129
9/13-A26Z,2344902,1565908
9/13-A27,1617625,126431
9/13-A28,3309310,1724494
9/13-A29,17308,3044
9/13-A3,1022620,45770
9/13-A30,1977425,467937
9/13-A31,68506,841
9/13-A32,1902221,112158
9/13-A33,29996,7652
9/13-A34,1751694,543449
9/13-A35,2896702,72182
9/13-A36,2115111,500689
9/13-A37,2085379,179375
9/13-A38,154827,4061
9/13-A39,4458793,1978122
9/13-A4,50334,102
9/13-A40,2042872,17717
9/13-A41Z,477220,196892
9/13-A42,61852,602
9/13-A43,1170578,271668
9/13-A44,490817,10877
9/13-A45,899637,7811
9/13-A46,1002859,127768
9/13-A47,483345,100703
9/13-A48,295250,34847
9/13-A49,806673,160099
9/13-A5,409936,417
9/13-A50,2143190,1268762
9/13-A51,247433,22057
9/13-A52,884767,3496
9/13-A53,512336,63372
9/13-A54,374877,111682
9/13-A55,455625,84745
9/13-A56,231540,31017
9/13-A57,12554,2228
9/13-A59,229257,4502
9/13-A6,1700962,309209
9/13-A60,22905,9225
9/13-A7,3527197,3194
9/13-A8,2957685,1205
9/13-A9,5737310,10894
9/13a-A61,230032,2214
9/13a-A62,436584,151285
9/13a-A63,145912,1403
9/13a-A64,232474,2102
9/13a-A65,373348,22302
9/13a-A66,54240,1393
9/13a-A67,78468,5231
9/13a-A69,315,48
9/13a-A70,85014,700
9/13a-A72,58971,507
9/13a-B1,1291547,140790
9/13a-B11,820350,1431
9/13a-B12Z,42536,4003
9/13a-B13,849208,415642
9/13a-B14,3280655,845304
9/13a-B15,4059527,1633623
9/13a-B16,1932234,748364
9/13a-B17,705246,292948
9/13a-B18,929295,101308
9/13a-B19,1982205,856483
9/13a-B2,3626744,298939
9/13a-B20,124977,872
9/13a-B21,965445,131637
9/13a-B22,578572,102152
9/13a-B23,1419060,349288
9/13a-B26,333001,44696
9/13a-B27,2688000,721612
9/13a-B28,802107,192175
9/13a-B29,2915294,450809
9/13a-B30,758171,201322
9/13a-B31,1119631,34197
9/13a-B32,568750,60073
9/13a-B33,709108,438991
9/13a-B34,445120,25834
9/13a-B35,578721,223552
9/13a-B36,206984,42386
9/13a-B37,744385,239129
9/13a-B38,167139,129774
9/13a-B39,906204,96397
9/13a-B4,4461350,1807054
9/13a-B40,2581283,627869
9/13a-B41,557214,205772
9/13a-B43,440061,23895
9/13a-B44,596647,236693
9/13a-B45,314804,238543
9/13a-B46,499987,238317
9/13a-B47Y,1002071,377708
9/13a-B48,738059,303030
9/13a-B49,2258,86
9/13a-B5,2683314,302111
9/13a-B50,82963,11317
9/13a-B51,2684,31
9/13a-B6,694810,172622
9/13a-B7,996719,104394
9/13a-B8,953591,442845
9/13a-B9,1697738,1045516
21/01-2,1946190,494428
21/01-6,5000395,83167
21/01-7,3048481,111370
13/22a-C11,13430,151
13/22a-C13,35758,0
13/22a-C15,876249,56252
13/22a-C16Y,140046,2358
13/22a-C17,266368,32007
13/22a-C18,567506,66209
13/22a-C19Z,427376,185073
13/22a-C2,2145880,1431110
13/22a-C21Y,213297,36389
13/22a-C22,182419,10197
13/22a-C24,99629,50170
13/22a-C3,1261524,677473
13/22a-C4,4746205,4746205
13/22a-C5,579339,17498
13/22a-C6,1213273,548439
13/22a-C7,957817,163510
13/22a-C8,874580,184368
13/22a-C9,1323156,421337
14/19-C1,3757759,1404025
14/19-C10,4559628,30955
14/19-C11,15189,960
14/19-C12,546040,60
14/19-C13,5575644,605321
14/19-C14,4811191,1543071
14/19-C15,13339,13206
14/19-C16,25081,25081
14/19-C17Z,8537,8452
14/19-C18,34676,0
14/19-C19,200129,45065
14/19-C2,4100059,812590
14/19-C20,3389,267
14/19-C21,7998,7998
14/19-C22,972005,138766
14/19-C23,1980029,388944
14/19-C24,7221198,2893755
14/19-C25,558380,220885
14/19-C26,508113,112378
14/19-C27,2233,0
14/19-C28,1561203,630810
14/19-C29,692015,42277
14/19-C3,6141149,753911
14/19-C30,1543360,426278
14/19-C31,1021258,489355
14/19-C33,1878040,594573
14/19-C35,145787,63684
14/19-C36,127,126
14/19-C38,1048589,1130
14/19-C39,276771,89585
14/19-C4,7685622,2500177
14/19-C41,4010,3716
14/19-C43,3218766,1418530
14/19-C44,3966076,1740321
14/19-C45,1299,269
14/19-C46,243759,96988
14/19-C48,7795177,4021357
14/19-C49,44791,9909
14/19-C50,1546167,593373
14/19-C51,1338850,691464
14/19-C52,1347615,645947
14/19-C53,1990689,1082067
14/19-C54,3263581,2369629
14/19-C55,3861594,920768
14/19-C56,1479225,906905
14/19-C57,2224806,1136323
14/19-C58,4088681,3397854
14/19-C59,1034516,158119
14/19-C61,468299,3849
14/19-C62,36403,31325
14/19-C63,149700,32732
14/19-C64,1325750,127558
14/19-C65,923853,264123
14/19-C66,1568757,508796
14/19-C69,894418,131733
14/19-C6A,2082150,602062
14/19-C7,3404552,967977
14/19-C71,1164693,550253
14/19-C72,273040,13891
14/19-C73,349720,226723
14/19-C8,3952903,961522
14/19-C9Z,3475758,833624
15/17-13,622126,88426
15/17-A10,453327,351951
15/30-M1,83270,2775
15/30-M2,83270,2775
15/30-M3,83270,2775
15/30-M4,83270,2775
15/30-M5,83270,2775
15/30-M6,83270,2775
15/30-M7,83270,2775
16/26-B1,83427,2792
16/26-B10,83741,2797
16/26-B11,26151,735
16/26-B2,83388,2781
16/26-B3,83270,2775
16/26-B4,86465,2926
16/26-B5,84874,2851
16/26-B6,83270,2775
16/26-B7,84489,2833
16/26-B8,89295,3059
16/26-B9,84322,2825
20/05a-1,1664424,914810
21/01a-10,2614950,277194
21/01a-11,1197624,235788
21/01a-14,884208,15701
21/01a-8,582013,63319
21/01a-9,4432260,1101786
211/21a-N20,46133590,27909400
211/21a-N21,19780287,11574444
211/21a-N22,39174228,25513178
211/21a-N23,19356758,12636052
211/21-N1,34536390,12713208
211/21-N10,12300,7845
211/21-N11,48692140,25812380
211/21-N12,2683676,2145579
211/21-N12Z,0,0
211/21-N13,134624,0
211/21-N14,8579103,4270311
211/21-N14Z,0,0
211/21-N15,0,0
211/21-N16,24575372,14375924
211/21-N17,6622539,5034021
211/21-N18,1346373,0
211/21-N19Y,58172,64
211/21-N2,60870220,30022404
211/21-N24,37075923,27741471
211/21-N25,14578831,11626943
211/21-N26,0,0
211/21-N27,124606,0
211/21-N28Z,85946,770
211/21-N29,6072942,4287465
211/21-N3,6988,6988
211/21-N30,501416,7732
211/21-N31,47039225,32975395
211/21-N32,8806344,6380632
211/21-N33,6555878,5233472
211/21-N34,405294,404892
211/21-N34Z,0,0
211/21-N36,3242475,2263660
211/21-N36Z,18616990,16127755
211/21-N38,4966328,3697528
211/21-N39,3488616,2686836
211/21-N3Z,0,0
211/21-N4,58433,15849
211/21-N40,13801122,11503092
211/21-N41,7658812,5930516
211/21-N42,369066,206685
211/21-N43,4329672,2663880
211/21-N45,2179818,1941690
211/21-N46,12437961,10323294
211/21-N49,6001377,4803717
211/21-N5,58341097,28351521
211/21-N50,893226,781563
211/21-N51,15580272,13663440
211/21-N52Y,352788,28315
211/21-N53Z,174292,258
211/21-N54,474204,248516
211/21-N55,3101018,2685888
211/21-N57,458328,4542
211/21-N58Z,120322,52175
211/21-N59,55556,10720
211/21-N6,35000219,18612817
211/21-N60,252342,172048
211/21-N61,4455,619
211/21-N62,13516,0
211/21-N7,1103460,0
211/21-N8,44800,0
211/21-N9,2571,2571
211/29-7,0,0
211/29-A1,885072,13583
211/29-A10,52552,52552
211/29-A11,72987,1309
211/29-A12,2167631,352723
211/29-A13,7900371,3898144
211/29-A14,105461,105461
211/29-A15,3302721,854357
211/29-A16,4698355,256962
211/29-A17,668837,200927
211/29-A18,216243,1236
211/29-A19,6653327,2777925
211/29-A2,7557155,801352
211/29-A20,931208,189424
211/29-A21,6658343,2520154
211/29-A22Z,109763,37753
211/29-A23,4277179,1511200
211/29-A24,30101,30101
211/29-A25,20026,20026
211/29-A26,2770642,1085979
211/29-A27,1013773,367882
211/29-A28,1935383,629804
211/29-A29,70624,25344
211/29-A3,1752381,710942
211/29-A30,1282291,728476
211/29-A31,1278186,548501
211/29-A32,25314,2924
211/29-A33,3086738,641018
211/29-A34,566618,280145
211/29-A35,0,0
211/29-A36,1335278,774258
211/29-A38,0,0
211/29-A38Z,1610202,896670
211/29-A39,2203547,1236161
211/29-A4,95667,1027
211/29-A41,402034,275800
211/29-A42,653898,300614
211/29-A43,1102593,699552
211/29-A44,5568214,3447270
211/29-A45,181990,124206
211/29-A46,130278,65014
211/29-A5,8833728,1690188
211/29-A50,371431,239666
211/29-A51,969578,742828
211/29-A52,1071887,626265
211/29-A53,188071,124788
211/29-A54,369229,234733
211/29-A55,309169,99722
211/29-A6,4375071,1189431
211/29-A7,22180,12291
211/29-A8,644445,38398
211/29-A9,398606,299689
211/29-B1,4912356,1257487
211/29-B10,1891644,366962
211/29-B11,11420,11420
211/29-B12,728110,254207
211/29-B13,335454,229242
211/29-B14,10250,10250
211/29-B15,4547686,624028
211/29-B16,43872,43872
211/29-B17,168796,98757
211/29-B18,3777712,824698
211/29-B19,42176,42176
211/29-B2,8393557,1131814
211/29-B20,6499990,2387642
211/29-B21,15093,15093
211/29-B22,5968686,496612
211/29-B23,5235314,1090170
211/29-B24,4457150,1744945
211/29-B25,2639780,272198
211/29-B26,5996599,1934351
211/29-B27,281024,143276
211/29-B28,1768017,617841
211/29-B29,5515997,2677755
211/29-B3,5961546,1557055
211/29-B30,5363,5363
211/29-B31,2912078,1366287
211/29-B32,3869056,1789358
211/29-B33,2777871,1373882
211/29-B34,2731189,1152841
211/29-B35,2475506,902637
211/29-B36,2665425,883729
211/29-B37,848651,160704
211/29-B38,1496799,916949
211/29-B39,2406619,1452254
211/29-B4,8370864,1135343
211/29-B41,18289,2239
211/29-B42,1692712,855834
211/29-B43,1114869,738070
211/29-B44,4197194,3988646
211/29-B45,504435,248875
211/29-B46,2542149,2429342
211/29-B47,6185302,5043736
211/29-B48,2918103,2446442
211/29-B49,1291411,1152756
211/29-B5,7384227,1076714
211/29-B50,2199354,1790835
211/29-B52Y,739455,454161
211/29-B53,25459,764
211/29-B54,389166,260019
211/29-B55,288328,137550
211/29-B56,1408628,975448
211/29-B57,170064,125845
211/29-B58,475784,372848
211/29-B59,129297,73093
211/29-B6,651779,426172
211/29-B62,7263,3057
211/29-B7,149385,33879
211/29-B8,22519,122
211/29-B9,1441204,392689
211/29-C1,7662028,2086753
211/29-C10,8880209,2507601
211/29-C11,37514,31193
211/29-C12,9706,9706
211/29-C13,8534464,2819149
211/29-C14,7266534,2367678
211/29-C15,3176618,556245
211/29-C16,49609,3715
211/29-C17,92740,64322
211/29-C18,10769711,4715402
211/29-C19,8581,8581
211/29-C2,6102007,1791070
211/29-C20,9259107,5044180
211/29-C21,51437,46150
211/29-C22,3117990,706863
211/29-C23,5148812,2716775
211/29-C24,2818916,1198105
211/29-C25,10717998,7347562
211/29-C26,2089777,1541819
211/29-C27,2210120,1340258
211/29-C28,4039053,1319564
211/29-C29,428440,292549
211/29-C3,2892692,364679
211/29-C30,12818512,6316772
211/29-C31,3518833,298357
211/29-C32,2777343,1531503
211/29-C33,888098,246398
211/29-C34,1359170,455146
211/29-C35,571715,22525
211/29-C36,2896917,1089605
211/29-C37,4436723,2337004
211/29-C38,2031535,1191966
211/29-C39,3027687,1635854
211/29-C4,74447,74447
211/29-C40,409370,55898
211/29-C41,5113654,3832074
211/29-C43,1549733,1462692
211/29-C44Z,173517,139033
211/29-C45,530963,202604
211/29-C46,2171794,1942327
211/29-C47,1870508,1708189
211/29-C48,502876,304222
211/29-C49,303113,270430
211/29-C5,32278,32278
211/29-C50,251405,251222
211/29-C51,146162,122257
211/29-C53,7891,2261
211/29-C6,17147,17147
211/29-C7,101303,7990
211/29-C8,3180487,1666466
211/29-C9,5396951,2039962
211/29-D1,11158964,5314643
211/29-D10,369695,265543
211/29-D11,326824,141686
211/29-D12,55136,55136
211/29-D13,6454394,1491399
211/29-D14,2455336,702682
211/29-D15,12810,12810
211/29-D16,669453,298277
211/29-D17,34484,34484
211/29-D18,2646281,1906360
211/29-D19,8134372,1211020
211/29-D2,2808757,1153313
